ID	en	ro	Noun
131	sentence	propoziție	1
132	great	mare	0
133	think	cred	0
134	say	spune	0
135	help	ajuta	1
136	low	scăzut	0
137	line	linie	1
138	differ	diferă	0
139	turn	rândul	1
140	cause	cauza	1
141	much	mult	0
142	mean	adică	0
143	before	înainte	0
144	move	mișcare	1
145	right	dreapta	0
146	boy	băiat	1
147	old	vechi	0
148	too	prea	0
149	same	același	0
150	she	ea	0
151	all	toate	0
152	there	acolo	0
153	when	când	0
154	up	sus	0
155	use	utilizare	0
156	your	dumneavoastră	0
157	way	cale	1
158	about	despre	0
159	many	multe	0
160	then	apoi	0
161	them	lor	0
162	write	scrie	0
163	would	ar	0
164	like	ca	0
165	so	așa	0
166	these	acestea	0
167	her	ei	0
168	long	lung	0
169	make	face	0
170	thing	lucru	1
171	see	vezi	0
172	him	el	0
173	two	două	0
174	has	are	0
175	look	privi	0
177	day	zi	1
178	could	putea	0
179	go	merge	0
180	come	vin	0
181	did	făcea	0
182	number	număr	1
183	sound	sunet	1
184	no	nu	0
186	people	oameni	1
187	my	meu	0
188	over	peste	0
189	know	cunoaște	0
190	water	apă	0
191	than	decât	0
192	call	apel	0
193	first	primul	0
194	who	care	0
195	may	putea	0
196	down	jos	0
197	side	lateral	0
198	been	fost	0
199	now	acum	0
200	find	găsi	0
201	head	cap	1
202	stand	sta	0
203	own	propriu	0
204	page	pagina	1
205	should	trebuie	0
206	country	țară	1
207	found	găsite	0
208	answer	răspuns	1
209	school	școală	1
210	grow	crește	0
211	study	studiu	1
212	still	încă	0
213	learn	învăța	0
214	plant	plantă	1
215	cover	capac	1
216	food	alimente	1
217	sun	soare	1
218	four	patru	0
219	between	între	0
220	state	stat	1
221	keep	păstra	0
222	eye	ochi	1
223	never	niciodată	0
224	last	ultim	0
225	let	lăsa	0
226	thought	gând	1
227	city	oraș	1
228	tree	copac	1
229	cross	cruce	1
230	farm	fermă	1
231	hard	greu	0
232	start	începe	0
233	might	putea	0
234	story	poveste	1
235	saw	ferăstrău	1
236	far	departe	0
237	sea	mare	1
238	draw	trage	0
239	left	stânga	0
240	late	târziu	0
241	run	aleargă	0
244	press	presă	1
245	close	aproape	0
246	night	noapte	1
247	real	reală	0
248	life	viață	1
249	few	puțini	0
250	north	nord	0
251	book	carte	1
252	carry	căra	0
253	took	lua	0
254	science	știință	1
255	eat	mânca	0
256	room	cameră	1
257	friend	prieten	1
258	began	început	0
259	idea	idee	1
260	fish	pește	1
261	mountain	munte	1
262	stop	opri	0
263	once	dată	0
264	base	bază	1
265	hear	auzi	0
266	horse	cal	1
267	cut	cut	0
268	sure	sigur	0
269	watch	ceas	1
270	color	culoare	1
271	face	față	1
272	wood	lemn	1
273	main	principal	0
274	open	deschis	0
275	seem	par	0
276	together	împreună	0
277	next	următor	0
278	white	alb	0
279	children	copii	1
280	begin	începe	0
281	got	am	0
283	example	exemplu	1
284	ease	ușura	0
285	paper	hârtie	1
286	group	grup	1
287	always	întotdeauna	0
288	music	muzica	1
289	those	aceste	0
290	both	atât	0
291	mark	marcă	1
292	often	des	0
293	letter	scrisoare	1
295	mile	milă	1
296	river	râu	1
297	car	mașină	1
298	feet	picioare	1
299	care	îngrijire	1
300	second	doilea	0
301	enough	suficient	0
302	plain	simplu	0
303	girl	fată	1
304	usual	obișnuit	0
305	young	tânăr	0
306	ready	gata	0
307	above	deaspura	0
308	ever	vreodată	0
309	red	roșu	0
310	list	lista	1
311	though	deși	0
312	feel	simți	0
313	talk	discuție	0
314	bird	pasăre	1
315	soon	curând	0
316	body	corp	1
317	dog	câine	1
318	family	familie	1
319	direct	directe	0
320	pose	pune	0
321	leave	lăsa	0
322	song	cântec	1
323	measure	măsura	0
324	door	ușă	1
325	product	produs	1
326	black	negru	0
327	short	scurt	0
328	numeral	numeral	1
329	class	clasă	1
330	wind	vânt	1
331	question	întrebare	1
332	happen	întâmpla	0
333	complete	complet	0
334	ship	navă	1
335	area	zonă	1
336	half	jumătate	0
337	rock	rocă	1
338	order	ordin	0
339	fire	foc	1
340	south	sud	0
341	problem	problemă	1
342	piece	bucată	1
343	told	spunea	0
344	knew	știam	0
345	pass	trece	0
346	since	întrucât	0
347	top	top	1
348	whole	întreg	0
349	king	rege	1
350	street	stradă	1
351	inch	inci	1
352	multiply	multiplica	0
353	nothing	nimic	0
354	course	curs	1
355	stay	ședere	1
356	wheel	roată	1
357	full	complet	0
358	force	vigoare	1
359	blue	albastru	0
360	object	obiect	1
361	decide	decidă	0
362	surface	suprafață	1
363	deep	adânc	0
364	moon	luna	1
365	island	insulă	1
366	foot	picior	1
367	system	sistem	1
368	busy	ocupat	0
369	test	testare	1
370	record	înregistrare	1
371	boat	barcă	1
372	common	comun	1
373	gold	aur	1
374	possible	posibil	0
375	plane	avion	1
376	stead	locul	0
377	dry	uscat	0
378	wonder	întreb	0
379	laugh	râs	1
380	thousand	mie	1
382	ran	fugi	0
383	check	verifica	0
384	game	joc	1
385	shape	formă	1
386	equate	echivala	0
387	hot	fierbinte	0
388	miss	rata	0
389	brought	adus	0
390	heat	căldură	1
391	snow	zăpadă	1
392	tire	anvelope	1
393	bring	aduce	0
394	yes	da	0
395	distant	îndepărtat	0
396	fill	umple	0
397	east	est	0
398	paint	vopsea	1
399	language	limbă	1
400	among	printre	0
401	unit	unitate	1
402	power	putere	1
403	town	oraș	1
404	fine	fin	0
405	certain	sigur	0
406	fly	zbura	0
407	fall	cădea	0
408	lead	plumb	1
409	cry	strigăt	1
410	dark	întuneric	0
411	machine	mașină	1
412	note	notă	1
413	wait	aștepta	0
414	plan	plan	1
415	figure	figură	1
416	star	stele	1
417	box	cutie	1
418	noun	substantiv	1
419	field	câmp	1
420	rest	odihnă	1
421	correct	corect	1
422	able	capabil	0
423	pound	lire	1
424	done	terminat	0
425	beauty	frumusețe	0
426	drive	unitate	0
427	stood	stat	0
428	contain	conțin	0
429	front	față	1
430	teach	învăța	1
431	week	săptămână	1
432	final	finală	0
433	gave	dădea	0
434	green	verde	0
435	oh	oh	0
436	quick	rapid	0
437	develop	dezvolta	0
438	ocean	oceanului	1
439	warm	cald	0
440	free	liber	0
441	minute	minut	1
442	strong	puternic	0
443	special	special	0
444	mind	minte	1
446	clear	clar	0
447	tail	coadă	1
448	produce	produc	0
449	fact	fapt	1
450	space	spațiu	1
